"Crop","GCM","Impact","Has"
"Cocoa","ACCESS-CM2","cope",1358561.73132239
"Cocoa","ACCESS-CM2","adjust",489112.821994185
"Cocoa","ACCESS-CM2","transform",8313.11191418767
"Cocoa","ACCESS-ESM1-5","cope",1118921.74116163
"Cocoa","ACCESS-ESM1-5","adjust",688954.722101629
"Cocoa","ACCESS-ESM1-5","transform",433.455653972924
"Cocoa","AWI-CM-1-1-MR","cope",837152.457132934
"Cocoa","AWI-CM-1-1-MR","adjust",904553.746464036
"Cocoa","BCC-CSM2-MR","cope",831129.665205948
"Cocoa","BCC-CSM2-MR","adjust",850247.365425766
"Cocoa","BCC-CSM2-MR","transform",111.39814555645
"Cocoa","CanESM5-CanOE","cope",1253045.23317403
"Cocoa","CanESM5-CanOE","adjust",526679.590198651
"Cocoa","CanESM5-CanOE","transform",5839.68611422926
"Cocoa","CanESM5","cope",1253045.23317403
"Cocoa","CanESM5","adjust",526679.590198651
"Cocoa","CanESM5","transform",5839.68611422926
"Cocoa","CMCC-ESM2","cope",1312683.63676705
"Cocoa","CMCC-ESM2","adjust",416500.835608453
"Cocoa","CMCC-ESM2","transform",9003.60269485414
"Cocoa","CNRM-CM6-1-HR","cope",1284384.1073827
"Cocoa","CNRM-CM6-1-HR","adjust",442312.910393476
"Cocoa","CNRM-CM6-1-HR","transform",4302.8465468511
"Cocoa","CNRM-CM6-1","cope",1284384.1073827
"Cocoa","CNRM-CM6-1","adjust",442312.910393476
"Cocoa","CNRM-CM6-1","transform",4302.8465468511
"Cocoa","CNRM-ESM2-1","cope",1148145.41887578
"Cocoa","CNRM-ESM2-1","adjust",786777.361309558
"Cocoa","CNRM-ESM2-1","transform",4173.33177065849
"Cocoa","EC-Earth3-Veg-LR","cope",1070541.65495224
"Cocoa","EC-Earth3-Veg-LR","adjust",779032.945661753
"Cocoa","EC-Earth3-Veg-LR","transform",741.057210169733
"Cocoa","EC-Earth3-Veg","cope",1070541.65495224
"Cocoa","EC-Earth3-Veg","adjust",779032.945661753
"Cocoa","EC-Earth3-Veg","transform",741.057210169733
"Cocoa","GFDL-ESM4","cope",975969.581081718
"Cocoa","GFDL-ESM4","adjust",817709.669341117
"Cocoa","GFDL-ESM4","transform",605.830722607672
"Cocoa","GISS-E2-1-G","cope",1420613.01266375
"Cocoa","GISS-E2-1-G","adjust",347727.625324786
"Cocoa","GISS-E2-1-G","transform",1158.57220069319
"Cocoa","GISS-E2-1-H","cope",1421788.43539974
"Cocoa","GISS-E2-1-H","adjust",273383.043459594
"Cocoa","GISS-E2-1-H","transform",3327.91907075793
"Cocoa","INM-CM4-8","cope",1407268.55510449
"Cocoa","INM-CM4-8","adjust",277399.864293143
"Cocoa","INM-CM4-8","transform",73.3776531815529
"Cocoa","INM-CM5-0","cope",1436721.6734321
"Cocoa","INM-CM5-0","adjust",263117.527685598
"Cocoa","INM-CM5-0","transform",34.806140422821
"Cocoa","IPSL-CM6A-LR","cope",1384976.3539993
"Cocoa","IPSL-CM6A-LR","adjust",431049.06557858
"Cocoa","IPSL-CM6A-LR","transform",882.202443920076
"Cocoa","MIROC-ES2L","cope",1334245.64756647
"Cocoa","MIROC-ES2L","adjust",463272.287096471
"Cocoa","MIROC-ES2L","transform",2237.94477818161
"Cocoa","MIROC6","cope",1224082.79987854
"Cocoa","MIROC6","adjust",479537.929466039
"Cocoa","MIROC6","transform",287.132453195751
"Cocoa","MPI-ESM1-2-HR","cope",1046226.44059504
"Cocoa","MPI-ESM1-2-HR","adjust",769018.424150586
"Cocoa","MPI-ESM1-2-HR","transform",3.035236120224
"Cocoa","MPI-ESM1-2-LR","cope",879279.187772818
"Cocoa","MPI-ESM1-2-LR","adjust",859211.287413538
"Cocoa","MRI-ESM2-0","cope",1436826.15266678
"Cocoa","MRI-ESM2-0","adjust",243353.244544446
"Cocoa","MRI-ESM2-0","transform",1662.91306076199
"Cocoa","UKESM1-0-LL","cope",1360814.47049266
"Cocoa","UKESM1-0-LL","adjust",427001.240658611
"Cocoa","UKESM1-0-LL","transform",8511.12996838242
"Cashew","ACCESS-CM2","cope",105334.64706232
"Cashew","ACCESS-CM2","adjust",60435.8360896334
"Cashew","ACCESS-ESM1-5","cope",108150.533624429
"Cashew","ACCESS-ESM1-5","adjust",59132.0438529961
"Cashew","AWI-CM-1-1-MR","cope",120382.012033243
"Cashew","AWI-CM-1-1-MR","adjust",47003.8302746043
"Cashew","BCC-CSM2-MR","cope",115513.096185822
"Cashew","BCC-CSM2-MR","adjust",50864.9107293002
"Cashew","CanESM5-CanOE","cope",108639.242175333
"Cashew","CanESM5-CanOE","adjust",58557.5826544911
