current,future,category
1,3,opportunity
1,4,opportunity
1,5,opportunity
1,6,opportunity
1,7,opportunity
1,1,Unsuit
1,2,Unsuit
1,8,Unsuit
1,9,opportunity
2,3,opportunity
2,4,opportunity
2,5,opportunity
2,6,opportunity
2,7,opportunity
2,1,Unsuit
2,2,Unsuit
2,8,Unsuit
2,9,opportunity
3,4,adjust
3,5,adjust
3,6,adjust
3,7,adjust
3,3,cope
3,9,adjust
3,1,transform
3,2,transform
3,8,transform
4,3,adjust
4,5,adjust
4,6,adjust
4,7,adjust
4,4,cope
4,9,adjust
4,1,transform
4,2,transform
4,8,transform
5,3,adjust
5,4,adjust
5,6,adjust
5,7,adjust
5,5,cope
5,9,adjust
5,1,transform
5,2,transform
5,8,transform
6,3,adjust
6,4,adjust
6,5,adjust
6,7,adjust
6,6,cope
6,9,adjust
6,1,transform
6,2,transform
6,8,transform
7,3,adjust
7,4,adjust
7,5,adjust
7,6,adjust
7,7,cope
7,9,adjust
7,1,transform
7,2,transform
7,8,transform
8,3,opportunity
8,4,opportunity
8,5,opportunity
8,6,opportunity
8,7,opportunity
8,1,Unsuit
8,2,Unsuit
8,8,Unsuit
8,9,opportunity
9,3,adjust
9,4,adjust
9,5,adjust
9,6,adjust
9,7,adjust
9,8,transform
9,9,cope
9,1,transform
9,2,transform
