"Crop","GCM","Impact","Has","prod","yield","low_imp","mid_imp","hig_imp","dfr_low","dfr_mid","dfr_hig"
"Cocoa","ACCESS-CM2","cope",1358561.73132239,934489.586,0.503499890385215,0.453149901346693,0.427974906827433,0.402799912308172,934489.132850099,934489.158025093,934489.183200088
"Cocoa","ACCESS-ESM1-5","cope",1118921.74116163,934489.586,0.516775125891887,0.465097613302698,0.439258857008104,0.413420100713509,934489.120902387,934489.146741143,934489.172579899
"Cocoa","AWI-CM-1-1-MR","cope",837152.457132934,934489.586,0.536536864868537,0.482883178381683,0.456056335138256,0.42922949189483,934489.103116822,934489.129943665,934489.156770508
"Cocoa","BCC-CSM2-MR","cope",831129.665205948,934489.586,0.555751422374957,0.500176280137462,0.472388709018714,0.444601137899966,934489.08582372,934489.113611291,934489.141398862
"Cocoa","CanESM5-CanOE","cope",1253045.23317403,934489.586,0.523358064654035,0.471022258188631,0.444854354955929,0.418686451723228,934489.114977742,934489.141145645,934489.167313548
"Cocoa","CanESM5","cope",1253045.23317403,934489.586,0.523358064654035,0.471022258188631,0.444854354955929,0.418686451723228,934489.114977742,934489.141145645,934489.167313548
"Cocoa","CMCC-ESM2","cope",1312683.63676705,934489.586,0.537622826552975,0.483860543897677,0.456979402570029,0.43009826124238,934489.102139456,934489.129020597,934489.155901739
"Cocoa","CNRM-CM6-1-HR","cope",1284384.1073827,934489.586,0.539855377958373,0.485869840162536,0.458877071264617,0.431884302366698,934489.10013016,934489.127122929,934489.154115698
"Cocoa","CNRM-CM6-1","cope",1284384.1073827,934489.586,0.539855377958373,0.485869840162536,0.458877071264617,0.431884302366698,934489.10013016,934489.127122929,934489.154115698
"Cocoa","CNRM-ESM2-1","cope",1148145.41887578,934489.586,0.481920199952011,0.43372817995681,0.409632169959209,0.385536159961609,934489.15227182,934489.17636783,934489.20046384
"Cocoa","EC-Earth3-Veg-LR","cope",1070541.65495224,934489.586,0.505043332497598,0.454538999247838,0.429286832622958,0.404034665998078,934489.131461001,934489.156713167,934489.181965334
"Cocoa","EC-Earth3-Veg","cope",1070541.65495224,934489.586,0.505043332497598,0.454538999247838,0.429286832622958,0.404034665998078,934489.131461001,934489.156713167,934489.181965334
"Cocoa","GFDL-ESM4","cope",975969.581081718,934489.586,0.520814443490461,0.468732999141415,0.442692276966892,0.416651554792369,934489.117267001,934489.143307723,934489.169348445
"Cocoa","GISS-E2-1-G","cope",1420613.01266375,934489.586,0.528109637245934,0.47529867352134,0.448893191659044,0.422487709796747,934489.110701327,934489.137106808,934489.16351229
"Cocoa","GISS-E2-1-H","cope",1421788.43539974,934489.586,0.550185409037432,0.495166868133689,0.467657597681817,0.440148327229946,934489.090833132,934489.118342402,934489.145851673
"Cocoa","INM-CM4-8","cope",1407268.55510449,934489.586,0.554678222880117,0.499210400592105,0.471476489448099,0.443742578304093,934489.086789599,934489.114523511,934489.142257422
"Cocoa","INM-CM5-0","cope",1436721.6734321,934489.586,0.549740499595804,0.494766449636223,0.467279424656433,0.439792399676643,934489.09123355,934489.118720575,934489.1462076
"Cocoa","IPSL-CM6A-LR","cope",1384976.3539993,934489.586,0.51432971862385,0.462896746761465,0.437180260830272,0.41146377489908,934489.123103253,934489.148819739,934489.174536225
"Cocoa","MIROC-ES2L","cope",1334245.64756647,934489.586,0.519231300575157,0.467308170517642,0.441346605488884,0.415385040460126,934489.118691829,934489.144653394,934489.17061496
"Cocoa","MIROC6","cope",1224082.79987854,934489.586,0.548439036494632,0.493595132845169,0.466173181020437,0.438751229195706,934489.092404867,934489.119826819,934489.147248771
"Cocoa","MPI-ESM1-2-HR","cope",1046226.44059504,934489.586,0.514799981869913,0.463319983682921,0.437579984589426,0.41183998549593,934489.122680016,934489.148420015,934489.174160014
