"Crop","GCM","Has","prod","yield"
"Cashew","ACCESS-CM2",165770.483151953,97794.184,0.589937256262667
"Cashew","ACCESS-ESM1-5",167282.577477425,97794.184,0.584604717805698
"Cashew","AWI-CM-1-1-MR",167385.842307847,97794.184,0.584244059423748
"Cashew","BCC-CSM2-MR",166378.006915122,97794.184,0.587783119976246
"Cashew","CMCC-ESM2",168840.218752552,97794.184,0.579211426771039
"Cashew","CNRM-CM6-1",165580.567109726,97794.184,0.590613896950807
"Cashew","CNRM-CM6-1-HR",165580.567109726,97794.184,0.590613896950807
"Cashew","CNRM-ESM2-1",165806.1560584,97794.184,0.589810332286787
"Cashew","CanESM5",167196.824829824,97794.184,0.584904552461069
"Cashew","CanESM5-CanOE",167196.824829824,97794.184,0.584904552461069
"Cashew","EC-Earth3-Veg",168303.717643242,97794.184,0.581057776794312
"Cashew","EC-Earth3-Veg-LR",168303.717643242,97794.184,0.581057776794312
"Cashew","GFDL-ESM4",169525.902217027,97794.184,0.576868683316628
"Cashew","GISS-E2-1-G",165436.607065827,97794.184,0.591127838840939
"Cashew","GISS-E2-1-H",163947.27906942,97794.184,0.596497755590021
"Cashew","INM-CM4-8",165614.609518353,97794.184,0.590492495102993
"Cashew","INM-CM5-0",164248.483405203,97794.184,0.595403878151744
"Cashew","IPSL-CM6A-LR",165714.506915096,97794.184,0.590136529507973
"Cashew","MIROC-ES2L",164937.408892035,97794.184,0.59291694138359
"Cashew","MIROC6",167352.626338527,97794.184,0.584360019556421
"Cashew","MPI-ESM1-2-HR",170019.479332901,97794.184,0.575193997674333
"Cashew","MPI-ESM1-2-LR",168794.93042437,97794.184,0.579366831421619
"Cashew","MRI-ESM2-0",164111.82626763,97794.184,0.595899675386706
"Cashew","UKESM1-0-LL",163880.004308883,97794.184,0.596742625266695
"Cocoa","ACCESS-CM2",1855987.66523076,934489.586,0.503499890385215
"Cocoa","ACCESS-ESM1-5",1808309.91891723,934489.586,0.516775125891887
"Cocoa","AWI-CM-1-1-MR",1741706.20359697,934489.586,0.536536864868537
"Cocoa","BCC-CSM2-MR",1681488.42877727,934489.586,0.555751422374957
"Cocoa","CMCC-ESM2",1738188.07507036,934489.586,0.537622826552975
"Cocoa","CNRM-CM6-1",1730999.86432303,934489.586,0.539855377958373
"Cocoa","CNRM-CM6-1-HR",1730999.86432303,934489.586,0.539855377958373
"Cocoa","CNRM-ESM2-1",1939096.111956,934489.586,0.481920199952011
"Cocoa","CanESM5",1785564.50948691,934489.586,0.523358064654035
"Cocoa","CanESM5-CanOE",1785564.50948691,934489.586,0.523358064654035
"Cocoa","EC-Earth3-Veg",1850315.65782416,934489.586,0.505043332497598
"Cocoa","EC-Earth3-Veg-LR",1850315.65782416,934489.586,0.505043332497598
"Cocoa","GFDL-ESM4",1794285.08114544,934489.586,0.520814443490461
"Cocoa","GISS-E2-1-G",1769499.21018923,934489.586,0.528109637245934
"Cocoa","GISS-E2-1-H",1698499.39793009,934489.586,0.550185409037432
"Cocoa","INM-CM4-8",1684741.79705081,934489.586,0.554678222880117
"Cocoa","INM-CM5-0",1699874.00725812,934489.586,0.549740499595804
